證券代碼,簡稱,年月日,收盤價(元),開盤價(元),最高價(元),最低價(元),成交量(千股),成交值(千元)
2330,台積電       ,20210607,592,594,595,583,17729,10471176
2330,台積電       ,20210608,589,590,595,588,14083,8312653
2330,台積電       ,20210609,586,586,588,583,21575,12618113
2330,台積電       ,20210610,599,591,599,587,29741,17696413
2330,台積電       ,20210611,602,602,603,600,24940,15011140
2330,台積電       ,20210615,609,607,609,606,30245,18415370
2330,台積電       ,20210616,605,608,608,605,28624,17401326
2330,台積電       ,20210617,606,601,606,598,26477,15924656
2330,台積電       ,20210618,603,608,608,601,42036,25373026
2330,台積電       ,20210621,583,590,594,583,47339,27749202
2330,台積電       ,20210622,578,585,588,578,30578,17786329
2330,台積電       ,20210623,595,583,598,581,36386,21500052
2330,台積電       ,20210624,590,598,598,588,19322,11435647
2330,台積電       ,20210625,591,598,598,589,19140,11355715
2330,台積電       ,20210628,590,590,590,586,15401,9056869
2330,台積電       ,20210629,595,598,598,591,30837,18350027
2330,台積電       ,20210630,595,599,599,595,34021,20301841
2330,台積電       ,20210701,593,596,597,591,18719,11116195
2330,台積電       ,20210702,588,590,593,587,19633,11562140
2330,台積電       ,20210705,591,588,597,588,30274,17957255
2330,台積電       ,20210706,592,595,596,589,13830,8185167
2330,台積電       ,20210707,594,590,594,588,17329,10250342
2330,台積電       ,20210708,588,595,595,588,21596,12733045
2330,台積電       ,20210709,584,582,585,580,30602,17821338
2330,台積電       ,20210712,593,595,597,590,33011,19612592
2330,台積電       ,20210713,607,600,608,599,54894,33158730
2330,台積電       ,20210714,613,613,615,608,39670,24276719
2330,台積電       ,20210715,614,613,614,608,23057,14117908
2330,台積電       ,20210716,589,591,595,588,61882,36562482
2330,台積電       ,20210719,582,583,584,578,43248,25135531
2330,台積電       ,20210720,581,579,584,579,16352,9502338
2330,台積電       ,20210721,585,586,586,580,26476,15440430
2330,台積電       ,20210722,591,589,594,587,27075,16014166
2330,台積電       ,20210723,585,592,592,583,15705,9206201
2330,台積電       ,20210726,580,591,591,580,22442,13089591
2330,台積電       ,20210727,580,581,584,580,18925,10997959
2330,台積電       ,20210728,579,576,579,573,39744,22884618
2330,台積電       ,20210729,583,585,585,577,25014,14525643
2330,台積電       ,20210730,580,581,582,578,26141,15170421
2330,台積電       ,20210802,590,583,590,580,24948,14593329
2330,台積電       ,20210803,594,594,594,590,28104,16655446
2330,台積電       ,20210804,596,598,598,594,23714,14132827
2330,台積電       ,20210805,596,598,598,593,15673,9343887
2330,台積電       ,20210806,591,596,596,588,13994,8275142
2330,台積電       ,20210809,595,590,595,583,17611,10366798
2330,台積電       ,20210810,591,596,596,589,17620,10435618
2330,台積電       ,20210811,590,590,590,585,20311,11943131
2330,台積電       ,20210812,586,586,588,584,16031,9383967
2330,台積電       ,20210813,581,585,585,579,25440,14769155
2330,台積電       ,20210816,584,582,586,578,19949,11612486
2330,台積電       ,20210817,580,580,582,578,31845,18475506
2330,台積電       ,20210818,574,568,575,566,47063,26855353
2330,台積電       ,20210819,559,573,573,559,42133,23766228
2330,台積電       ,20210820,552,560,563,551,47741,26565551
2330,台積電       ,20210823,566,560,572,559,34775,19688362
2330,台積電       ,20210824,572,574,575,571,27397,15697269
2330,台積電       ,20210825,585,579,585,574,28867,16769849
2330,台積電       ,20210826,594,601,603,591,45027,26834160
2330,台積電       ,20210827,599,596,600,593,29459,17596859
2330,台積電       ,20210830,605,602,605,599,40606,24425472
2330,台積電       ,20210831,614,604,614,598,58916,35867753
2330,台積電       ,20210901,613,614,614,608,31242,19126702
2330,台積電       ,20210902,607,613,615,607,26715,16341803
2330,台積電       ,20210903,620,610,620,610,53915,33278648
2330,台積電       ,20210906,631,623,638,621,59223,37250623
2330,台積電       ,20210907,623,634,634,623,27422,17191259
2330,台積電       ,20210908,619,622,627,612,38713,23960375
2330,台積電       ,20210909,619,612,620,610,19309,11886107
2330,台積電       ,20210910,622,615,623,614,16740,10365721
2330,台積電       ,20210913,615,619,620,613,15809,9734528
2330,台積電       ,20210914,613,618,618,612,16024,9849961
2330,台積電       ,20210915,607,610,613,607,26041,15872971
2330,台積電       ,20210916,600,603,607,599,23315,14030697
2330,台積電       ,20210917,600,600,610,599,42383,25510152
2330,台積電       ,20210922,586,586,589,583,42732,25056693
2330,台積電       ,20210923,588,588,593,588,22736,13406035
2330,台積電       ,20210924,598,591,598,590,17302,10289114
2330,台積電       ,20210927,602,600,602,593,20034,11993300
2330,台積電       ,20210928,594,595,596,592,17325,10291543
2330,台積電       ,20210929,580,580,583,577,51834,30040354
2330,台積電       ,20210930,580,580,585,575,36318,21054651
2330,台積電       ,20211001,574,579,579,571,39006,22368447
2330,台積電       ,20211004,572,574,575,569,22288,12741914
2330,台積電       ,20211005,572,562,572,560,36063,20406526
2330,台積電       ,20211006,571,573,574,565,33989,19345468
2330,台積電       ,20211007,580,575,582,572,28480,16458019
2330,台積電       ,20211008,575,582,583,573,22601,13051944
2330,台積電       ,20211012,575,570,575,564,27126,15455194
2330,台積電       ,20211013,571,572,575,570,19267,11006807
2330,台積電       ,20211014,573,579,579,573,14270,8213170
2330,台積電       ,20211015,600,592,600,586,55305,32878638
2330,台積電       ,20211018,590,604,604,590,19753,11802365
2330,台積電       ,20211019,600,598,600,593,18709,11196540
2330,台積電       ,20211020,598,603,604,597,17537,10527701
2330,台積電       ,20211021,596,602,603,595,16882,10116911
2330,台積電       ,20211022,600,600,602,594,14236,8520299
2330,台積電       ,20211025,593,597,597,590,17724,10518554
2330,台積電       ,20211026,599,595,600,593,27047,16169131
2330,台積電       ,20211027,599,598,599,594,16260,9708715
2330,台積電       ,20211028,595,598,598,591,16927,10066068
2330,台積電       ,20211029,590,595,596,589,27684,16352758
2330,台積電       ,20211101,590,591,593,590,17110,10107402
2330,台積電       ,20211102,592,594,597,590,16544,9808608
2330,台積電       ,20211103,592,597,597,592,11404,6773439
2330,台積電       ,20211104,587,592,594,585,18345,10792349
2330,台積電       ,20211105,600,598,600,595,34158,20419563
2330,台積電       ,20211108,602,600,602,598,20886,12544595
2330,台積電       ,20211109,611,611,617,610,42340,25935652
2330,台積電       ,20211110,612,611,612,608,18518,11303615
2330,台積電       ,20211111,606,600,606,600,20257,12225622
2330,台積電       ,20211112,604,610,611,602,21373,12801799
2330,台積電       ,20211115,608,609,611,607,17140,10434209
2330,台積電       ,20211116,610,612,612,608,21776,13285168
2330,台積電       ,20211117,610,615,615,608,21829,13330782
2330,台積電       ,20211118,613,613,614,607,22933,14019057
2330,台積電       ,20211119,618,622,623,617,38847,24047156
2330,台積電       ,20211122,615,618,618,615,23296,14354639
2330,台積電       ,20211123,612,615,615,611,20022,12266300
2330,台積電       ,20211124,603,612,612,602,22978,13904268
2330,台積電       ,20211125,603,605,607,601,14171,8551663
2330,台積電       ,20211126,596,598,601,592,27882,16609442
2330,台積電       ,20211129,593,594,598,591,24160,14360266
2330,台積電       ,20211130,596,597,600,591,69160,41208103
2330,台積電       ,20211201,600,596,603,594,30119,18021861
2330,台積電       ,20211202,615,605,615,602,48720,29780012
2330,台積電       ,20211203,608,614,614,606,27571,16798271
2330,台積電       ,20211206,600,603,609,600,24474,14740969
2330,台積電       ,20211207,607,602,607,597,21105,12704452
2330,台積電       ,20211208,602,614,614,602,22194,13490034
2330,台積電       ,20211209,608,606,608,602,12467,7554386
2330,台積電       ,20211210,605,605,608,602,11371,6874539
2330,台積電       ,20211213,601,609,610,601,17994,10887156
2330,台積電       ,20211214,599,598,600,597,22997,13757424
2330,台積電       ,20211215,600,597,601,596,22419,13420958
2330,台積電       ,20211216,605,605,605,601,22151,13370280
2330,台積電       ,20211217,607,601,607,599,30319,18339763
2330,台積電       ,20211220,598,607,607,598,22381,13446342
2330,台積電       ,20211221,597,597,600,595,17669,10560361
2330,台積電       ,20211222,600,598,601,598,10127,6067689
2330,台積電       ,20211223,606,607,608,602,16910,10238270
2330,台積電       ,20211224,604,606,609,604,12008,7276331
2330,台積電       ,20211227,606,604,610,604,16771,10193462
2330,台積電       ,20211228,615,610,615,610,35156,21569506
2330,台積電       ,20211229,616,615,619,614,25604,15788043
